epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,8564.86,0.71124,3.55177,0.28891,0.45318,1.12012,0.96576,0.97797,0.99039,0.88724,0.85462,0.81263,0.83062,0.66481,0.58019,2.06841,0.06282,0.29757,1.00129,0.007426,0.007426,0.007426
28,8880.38,0.70715,3.48823,0.28782,0.45342,1.11663,0.97081,0.97515,0.99059,0.89002,0.85166,0.81442,0.82983,0.66744,0.57849,2.07308,0.0609,0.29691,0.99647,0.007327,0.007327,0.007327
29,9195.49,0.71315,3.52696,0.28599,0.45374,1.12137,0.96984,0.97515,0.99043,0.89048,0.85745,0.81429,0.83148,0.67249,0.57495,2.01967,0.0618,0.29762,0.99824,0.007228,0.007228,0.007228
30,9510.98,0.70364,3.46822,0.28214,0.45123,1.11308,0.96751,0.97621,0.9904,0.88859,0.85454,0.81182,0.82359,0.66389,0.57021,2.04729,0.06276,0.29761,0.99457,0.007129,0.007129,0.007129
31,9825.9,0.69959,3.41498,0.28189,0.44731,1.11541,0.96982,0.97861,0.99071,0.89213,0.85817,0.81985,0.8331,0.67705,0.56502,2.02278,0.05941,0.29289,0.99127,0.00703,0.00703,0.00703
32,10141.3,0.69478,3.31472,0.28029,0.44359,1.1118,0.9728,0.97656,0.99085,0.89202,0.85381,0.81833,0.83302,0.67588,0.56808,2.01447,0.06074,0.29133,0.99324,0.006931,0.006931,0.006931
33,10456.5,0.69278,3.24188,0.27703,0.43725,1.11059,0.97002,0.97794,0.9906,0.89346,0.85797,0.82275,0.83696,0.68497,0.56134,1.9941,0.05817,0.28829,0.98795,0.006832,0.006832,0.006832
34,10771.6,0.69413,3.28562,0.27468,0.43799,1.10767,0.96906,0.97878,0.99042,0.89514,0.85852,0.81942,0.83762,0.68959,0.5595,1.9896,0.05678,0.28667,0.98711,0.006733,0.006733,0.006733
35,11086.7,0.68822,3.20506,0.27298,0.43757,1.105,0.96795,0.97989,0.99061,0.89561,0.85287,0.81673,0.83199,0.68556,0.55572,1.98211,0.0577,0.28839,0.98365,0.006634,0.006634,0.006634
36,11401.8,0.69119,3.23033,0.27359,0.43587,1.10894,0.96992,0.97879,0.9908,0.89801,0.86482,0.82757,0.84579,0.69525,0.55412,1.93236,0.05636,0.28458,0.98341,0.006535,0.006535,0.006535
